term,label
tummy aches,abdominal_pain
abdominal pain,abdominal_pain
soreness in abdomen,abdominal_pain
abdomen pain,abdominal_pain
abdominal pains,abdominal_pain
abdominal aches,abdominal_pain
tummy ache,abdominal_pain
abdominal ache,abdominal_pain
pain in abdomens,abdominal_pain
ache in abdomens,abdominal_pain
pain in abdomen,abdominal_pain
soreness in abdomens,abdominal_pain
irregular period,abnormal_menstruation
abnormal menstruations,abnormal_menstruation
irregular cycles,abnormal_menstruation
irregular cycle,abnormal_menstruation
unusual periods,abnormal_menstruation
abnormal menstruation,abnormal_menstruation
missed periods,abnormal_menstruation
unusual periodses,abnormal_menstruation
irregular periods,abnormal_menstruation
period problems,abnormal_menstruation
irregular menstruations,abnormal_menstruation
disturbed menstruation,abnormal_menstruation
acidic stomaches,acidity
sour stomaches,acidity
heartburns,acidity
acid burns,acidity
stomach acid,acidity
acid reflux,acidity
acidic stomach,acidity
acid problems,acidity
reflux acidities,acidity
sour stomach,acidity
reflux acidity,acidity
stomach acids,acidity
sudden liver failure,acute_liver_failure
fulminant hepatic failures,acute_liver_failure
liver shutting down,acute_liver_failure
liver failure acutes,acute_liver_failure
rapid liver failures,acute_liver_failure
acute hepatic failures,acute_liver_failure
acute liver failures,acute_liver_failure
rapid liver failure,acute_liver_failure
acute liver failure,acute_liver_failure
liver failure acute,acute_liver_failure
severe liver failure,acute_liver_failure
liver shutting downs,acute_liver_failure
disoriented,altered_sensorium
altered mental status,altered_sensorium
confusion,altered_sensorium
altered sensoriums,altered_sensorium
out of its,altered_sensorium
confused states,altered_sensorium
out of it,altered_sensorium
confused state,altered_sensorium
confusions,altered_sensorium
altered mental statuses,altered_sensorium
not fully consciouses,altered_sensorium
clouded sensorium,altered_sensorium
feeling anxiouses,anxiety
feelin on edge,anxiety
anxiouses,anxiety
feelin anxious,anxiety
nervousness,anxiety
anxiety attacks,anxiety
anxieties,anxiety
feeling nervouses,anxiety
feelin nervous,anxiety
feeling on edge,anxiety
worried and tense,anxiety
feeling anxious,anxiety
pain in back,back_pain
soreness in back,back_pain
back aches,back_pain
back hurtses,back_pain
soreness in backs,back_pain
pain in backs,back_pain
ache in backs,back_pain
back ache,back_pain
sore backs,back_pain
sore back,back_pain
back pains,back_pain
painful back,back_pain
painful belly,belly_pain
tummy pain,belly_pain
painful bellies,belly_pain
belly pains,belly_pain
tummy pains,belly_pain
pain in belly,belly_pain
pain in bellies,belly_pain
belly aches,belly_pain
ache in bellies,belly_pain
ache in belly,belly_pain
black-heads,blackheads
blackheadses,blackheads
black spots on nose,blackheads
blackheads,blackheads
black headses,blackheads
black pores,blackheads
black-headses,blackheads
black dots on skins,blackheads
black dots on skin,blackheads
black spots on noses,blackheads
clogged pores black,blackheads
black poreses,blackheads
bladder soreness,bladder_discomfort
bladder sorenesses,bladder_discomfort
painful bladders,bladder_discomfort
bladder discomfort,bladder_discomfort
painful bladder,bladder_discomfort
ache over bladders,bladder_discomfort
bladder discomforts,bladder_discomfort
pressure over bladders,bladder_discomfort
bladder pain,bladder_discomfort
suprapubic pain,bladder_discomfort
suprapubic pains,bladder_discomfort
bladder pressure,bladder_discomfort
blisters,blister
water blisters,blister
fluid filled blister,blister
raised blisters,blister
fluid filled blisters,blister
skin blisters,blister
bubble on skin,blister
water blister,blister
raised blister,blister
blistered skins,blister
blister,blister
blistered skin,blister
blood in phlegm,blood_in_sputum
blood in phlegms,blood_in_sputum
hemoptysis,blood_in_sputum
coughing up blood,blood_in_sputum
blood when I cough,blood_in_sputum
